,tweet
0,go usernam first avenu minneapoli mn sep number httpaddr
1,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam numbersteelgirl usernam usernam usernam usernam usernam usernam usernam usernam funni bill murray bill funni man thumb sign peac symbol region indic symbol letter u region indic symbol letter pictur
2,usernam merch
3,usernam book usernam show
4,usernam usernam love enough go stuck week work
5,sit porch morn watch rain listen alon usernam damn good way start day
6,usernam usernam well shame honestli
7,usernam new cd real countri number floor today favorit
8,usernam usernam shooter gotta thank put codi jink song end usernam episod back introduc stuff heavi rotat ever sinc one mani thing owe
9,dear usernam pleas pull head ass play usernam radio start play usernam usernam accept hashtag hashtag hashtag hashtag
10,usernam numberjakeycakey yesss love codi jink smile face heart shape eye
11,new music come hot usernam releas brand new album lifer give listen hear best outlaw countri hit music scene httpaddr
12,usernam got mine number number
13,usernam usernam usernam amaz first time hear sing like go back time georg jone alan jackson georg strait vinc gill willi nelson one lost merl haggard put music like glad hear
14,usernam play give fist bump
15,usernam usernam usernam usernam pre ordere
16,usernam hashtag pictur
17,dig new usernam album pictur
18,new usernam know hit home pictur
19,usernam went usernam could usernam hashtag hashtag hashtag
20,usernam vol number would like see usernam usernam
21,codyjinksmus perform consecut night tulsa usernam httpaddr via usernam pictur
22,usernam usernam usernam usernam beauti journey feast tire soul beauti gritti true codi new sound worth wait want real music get lifer
23,usernam headphon ok hand sign hashtag
24,one good thing today usernam new album person rais hand celebr emoji modifi fitzpatrick type number number
25,hey usernam come closer philli ohio tour hashtag smokin
26,usernam usernam usernam
27,usernam outdid colorado cold number miller ya next show springfield friend thumb sign emoji modifi fitzpatrick type number
28,usernam usernam burj khalifa
29,new music friday report see usernam excit album excit enough care els came today listen number album clearli wast time lifer awesom
30,still believ saw usernam usernam bakersfield hashtag pictur
31,person rais hand celebr emoji modifi fitzpatrick type number usernam pictur
32,usernam man rock crawfish festiv sign horn emoji modifi fitzpatrick type number number sign horn emoji modifi fitzpatrick type number number
33,usernam new album without doubt must listen one best album recent
34,nashvil saturday septemb number grab ticket see usernam usernam httpaddr
35,might go usernam sold pisgah brew compani ashevil nc sep number httpaddr
36,usernam ok hand sign clink beer mug heavi black heart httpaddr
37,thank usernam httpaddr
38,usernam go ahead releas whole album one song enough weari face
39,usernam wait hashtag
40,usernam hope sacramento show number number number
41,usernam check yo insta dm pleasee
42,usernam usernam pictur
43,thank usernam usernam usernam usernam usernam make weekend amaz tailgat tallboy work cutout top saturday night wit someth special menard counti fair disappoint either fri
44,usernam solid pop list number number countri singer right usernam
45,might go usernam cain ballroom tulsa ok jun number httpaddr
46,usernam usernam codi best start listen month ago turn
47,listen new usernam album hashtag
48,like authent countri music give usernam listen fire
49,usernam usernam usernam favorit album desert wind might best
50,must whiskey usernam repeat ok hand sign emoji modifi fitzpatrick type number number
51,got love mind jim beam breath hashtag codyjinksmus bless
52,true word usernam love hashtag httpaddr
53,usernam usernam usernam usernam
54,want see usernam forev excit tomorrow
55,crazi much relat everi usernam song heard
56,new show usernam usernam septemb number ticket sale next friday httpaddr pictur
57,septemb come fast enough see usernam columbia makeup show music far best ever
58,play usernam bar tallin estonia hell would thought
59,usernam amaz read heavi black heart clap hand sign emoji modifi fitzpatrick type number number
60,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam three other miss usernam usernam jake worthington look
61,sale second show ad due popular demand get ticket usernam number number still httpaddr pictur
62,hand favorit song hashtag album relat much usernam pictur
63,usernam folk make outlaw music day gotta look listen usernam usernam usernam usernam listen garbag hashtag
64,wow usernam hashtag goat
65,usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam usernam nope may slightli bias think
66,last night saw woman get punch number minut fight follow met love life like number time fist bump usernam met uncl charli cain ballroom everyth hope heavi black heart
67,hey usernam whatcha think pictur
68,usernam brilliant httpaddr
69,lust grip must whiskey codyjinksmus
70,got damn usernam best song come pike minut hashtag
71,voic heart love somewher heart leav heavi black heart usernam
72,usernam usernam come
73,usernam paw paw mr jink hashtag come see boy paulcauthen crush usernam stage dude usernam tonight hashtag door open numberpm hashtag hashtag httpaddr
74,usernam love new album pump see sf need countri california
75,usernam ticket nashvil came mail today two week wed gonna hell time pictur
76,excit play usernam hashtag august number fort worth tx ticket avail friday june number sign horn emoji modifi fitzpatrick type number number pictur
77,usernam get well codi
78,rock hippi cowboy usernam still need get program
79,usernam usernam pictur
80,got new usernam album got tix usernam
81,day made life much better song came usernam smile face heart shape eye smile face heart shape eye pictur
82,usernam newest song hit way close home bravo man good job
83,wait lifer like usernam pictur
84,usernam surpris releas friday damn excit usernam usernam releas year got readi drink beer listen life pain heartach fun real god damn countri
85,usernam said like moneysymbnumb beer like moneysymbnumb well ole honki tonk bar know smell feel shit everi friday night
86,dang usernam new singl fire hashtag
87,usernam stoke hear new album purchas copi number year old son start vinyl collect guy packag deal album put list see loud heavi pictur
88,usernam usernam love music great smile face heart shape eye
89,enjoy amaz music usernam evansvil last night tri crown royal throne pictur
90,done part folk crank stereo usernam usernam httpaddr
91,usernam merri jinksma wait jam album day work
